,0
0,https://en.wikipedia.org/wiki/HTTrack
1,https://en.wikipedia.org/wiki/#cite_ref-GoogleBooks-9237380_5-0
2,https://en.wikipedia.org/wiki/Template:Internet_search
3,http://ilpubs.stanford.edu:8090/347/
4,https://en.wikipedia.org/wiki/Robots.txt
5,https://foundation.wikimedia.org/wiki/Special:MyLanguage/Policy:Cookie_statement
6,https://api.semanticscholar.org/CorpusID:4347646
7,https://en.wikipedia.org/wiki/#cite_note-11
8,https://en.wikipedia.org/wiki/#cite_ref-baeza2005_16-0
9,https://support.apple.com/en-us/HT204683
10,https://web.archive.org/web/20140625233510/http://www10.org/cdrom/papers/210/index.html
11,https://en.wikipedia.org/wiki/Special:BookSources/978-981-02-3400-3
12,https://en.wikipedia.org/wiki/Multimedia_search
13,http://dollar.biz.uiowa.edu/~pant/Papers/crawling.pdf
14,https://en.wikipedia.org/wiki/Mod_oai
15,https://en.wikipedia.org/wiki/#cite_note-15
16,https://uk.wikipedia.org/wiki/%D0%9F%D0%BE%D1%88%D1%83%D0%BA%D0%BE%D0%B2%D0%B8%D0%B9_%D1%80%D0%BE%D0%B1%D0%BE%D1%82
17,https://doi.org/10.1145%2F2380718.2380762
18,https://doi.org/10.1145%2F958942.958945
19,https://en.wikipedia.org/wiki/Automatic_indexing
20,https://en.wikipedia.org/wiki/#Focused_crawling
21,https://en.wikipedia.org/wiki/File:Web_Crawling_Freshness_Age.png
22,https://az.wikipedia.org/wiki/Axtar%C4%B1%C5%9F_botu
23,https://en.wikipedia.org/wiki/Apache_Nutch
24,https://en.wikipedia.org/wiki/Image_retrieval
25,"https://en.wikipedia.org/wiki/Edward_G._Coffman,_Jr."
26,https://en.wikipedia.org/wiki/Bingbot
27,https://en.wikipedia.org/wiki/#List_of_web_crawlers
28,https://en.wikipedia.org/wiki/#cite_note-7
29,https://en.wikipedia.org/wiki/Diffbot
30,https://en.wikipedia.org/wiki/#cite_ref-39
31,https://no.wikipedia.org/wiki/S%C3%B8kerobot
32,https://en.wikipedia.org/wiki/#Politeness_policy
33,https://en.wikipedia.org/wiki/Libwww
34,https://en.wikipedia.org/wiki/#cite_ref-26
35,https://www.researchgate.net/publication/44241179
36,https://doi.org/10.1016%2Fs0169-7552%2898%2900110-x
37,https://id.wikipedia.org/wiki/Perangkak_web
38,https://web.archive.org/web/20091213213920/http://wiki.foaf-project.org/w/Scutter
39,https://en.wikipedia.org/wiki/Spambots
40,https://en.wikipedia.org/wiki/#cite_note-48
41,https://web.archive.org/web/20140318134631/http://semanticweb.com/more-semantics-for-google-ita-software-acquisition-comes-with-needlebase-too_b19329
42,https://en.wikipedia.org/wiki/Vertical_search
43,https://en.wikipedia.org/wiki/#URL_normalization
44,https://en.wikipedia.org/wiki/FOAF_(software)
45,https://en.wikipedia.org/wiki/Microsoft
46,https://api.semanticscholar.org/CorpusID:3710903
47,https://en.wikipedia.org/wiki/#cite_note-44
48,https://en.wikipedia.org/wiki/Wikipedia:File_Upload_Wizard
49,https://es.wikipedia.org/wiki/Ara%C3%B1a_web
50,https://en.wikipedia.org/wiki/#Commercial_web_crawlers
51,https://sv.wikipedia.org/wiki/Spindel_(internet)
52,https://lt.wikipedia.org/wiki/Interneto_robotas
53,https://en.wikipedia.org/wiki/#cite_ref-17
54,https://en.wikipedia.org/w/index.php?title=Web_crawler&action=edit&section=11
55,https://en.wikipedia.org/w/index.php?title=Web_crawler&action=edit&section=21
56,https://en.wikipedia.org/wiki/#cite_note-9
57,https://zh-classical.wikipedia.org/wiki/%E7%88%AC%E7%B6%B2%E8%9F%B2%E6%A2%B0
58,https://en.wikipedia.org/wiki/#cite_ref-cho2003a_32-0
59,https://en.wikipedia.org/wiki/Torsten_Suel
60,https://en.wikipedia.org/wiki/Gnutella_crawler
61,https://en.wikipedia.org/wiki/Talk:Web_crawler
62,https://en.wikipedia.org/wiki/#Selection_policy
63,https://en.wikipedia.org/wiki/Xenon_(program)
64,https://ja.wikipedia.org/wiki/%E3%82%AF%E3%83%AD%E3%83%BC%E3%83%A9
65,https://en.wikipedia.org/wiki/#cite_note-10
66,https://en.wikipedia.org/wiki/#cite_note-19
67,https://api.semanticscholar.org/CorpusID:325714
68,http://www.cindoc.csic.es/cybermetrics/pdf/68.pdf
69,https://en.wikipedia.org/wiki/#cite_ref-coffman_30-1
70,https://zh.wikipedia.org/wiki/%E7%B6%B2%E8%B7%AF%E7%88%AC%E8%9F%B2
71,https://doi.org/10.1002%2Fasi.20078
72,https://en.wikipedia.org/wiki/Deep_web
73,https://api.semanticscholar.org/CorpusID:9362566
74,https://webbrowsersintroduction.com/
75,https://en.wikipedia.org/wiki/Webgraph
76,https://hy.wikipedia.org/wiki/%D5%88%D6%80%D5%B8%D5%B6%D5%B8%D5%B2%D5%A1%D5%AF%D5%A1%D5%B6_%D5%BC%D5%B8%D5%A2%D5%B8%D5%BF
77,https://en.wikipedia.org/wiki/#cite_ref-18
78,https://en.wikipedia.org/wiki/Special:Random
79,https://en.wikipedia.org/wiki/Semantic_search
80,https://en.wikipedia.org/wiki/Screen_scraping
81,https://en.wikipedia.org/wiki/#cite_note-1
82,https://en.wikipedia.org/wiki/List_of_search_engine_software
83,https://en.wikipedia.org/wiki/StormCrawler
84,https://nds-nl.wikipedia.org/wiki/Webkroeper
85,https://en.wikipedia.org/wiki/Web_indexing
86,https://en.wikipedia.org/wiki/Google_search_engine
87,https://en.wikipedia.org/wiki/Software
88,https://en.wikipedia.org/wiki/#cite_note-39
89,https://en.wikipedia.org/wiki/User_agent
90,https://en.wikipedia.org/wiki/#cite_ref-edwards2001_6-0
91,https://en.wikipedia.org/wiki/Special:BookSources/9781450317207
92,http://oak.cs.ucla.edu/~cho/research/crawl.html
93,https://en.wikipedia.org/wiki/Crawljax
94,https://en.wikipedia.org/wiki/Search_engine_marketing
95,https://ko.wikipedia.org/wiki/%EC%9B%B9_%ED%81%AC%EB%A1%A4%EB%9F%AC
96,https://doi.org/10.1016%2Fs0169-023x%2804%2900107-7
97,http://vigna.dsi.unimi.it/ftp/papers/ParadoxicalPageRank.pdf
98,https://en.wikipedia.org/wiki/#cite_note-28
99,https://en.wikipedia.org/w/index.php?title=Web_crawler&action=edit&section=14
100,https://en.wikipedia.org/wiki/#cite_ref-coffman_30-0
101,https://web.archive.org/web/20121221113620/http://informatics.indiana.edu/fil/Papers/ICML.ps
102,https://en.wikipedia.org/wiki/Search/Retrieve_Web_Service
103,https://af.wikipedia.org/wiki/Webkruiper
104,https://www.wired.com/2007/01/tax-takers-send-in-the-spiders/
105,https://it.wikipedia.org/wiki/Crawler
106,https://en.wikipedia.org/wiki/#Open-source_crawlers
107,https://oa.doria.fi/handle/10024/38506
108,https://chato.cl/science/crawling_thesis/
109,https://en.wikipedia.org/wiki/PostScript
110,https://en.wikipedia.org/wiki/Template:Cite_book
111,https://donate.wikimedia.org/?wmf_source=donate&wmf_medium=sidebar&wmf_campaign=en.wikipedia.org&uselang=en
112,https://en.wikipedia.org/wiki/Apache_Solr
113,https://en.wikipedia.org/wiki/Wikia_Search
114,https://en.wikipedia.org/wiki/Category:Articles_with_permanently_dead_external_links
115,https://fr.wikipedia.org/wiki/Robot_d%27indexation
116,https://en.wikipedia.org/w/index.php?title=Special:CreateAccount&returnto=Web+crawler
117,https://en.wikipedia.org/wiki/#cite_note-21
118,http://www.wiley.com/legacy/compbooks/sonnenreich/history.html
119,https://en.wikipedia.org/wiki/WebFountain
120,https://web.archive.org/web/20051001063017/http://vigna.dsi.unimi.it/ftp/papers/ParadoxicalPageRank.pdf
121,https://en.wikipedia.org/wiki/#Nomenclature
122,https://en.wikipedia.org/w/index.php?title=Special:DownloadAsPdf&page=Web_crawler&action=show-download-screen
123,https://www.wikidata.org/wiki/Special:EntityPage/Q45842#sitelinks-wikipedia
124,https://en.wikipedia.org/wiki/Wikipedia:Contents
125,https://en.wikipedia.org/wiki/PDF
126,https://en.wikipedia.org/wiki/Middleware
127,https://en.wikipedia.org/wiki/Category:Use_dmy_dates_from_September_2020
128,https://foundation.wikimedia.org/wiki/Special:MyLanguage/Legal:Wikimedia_Foundation_Legal_and_Safety_Contact_Information
129,http://www.mccurley.org/papers/fractal.pdf
130,https://en.wikipedia.org/wiki/#cite_note-brin1998-41
131,https://en.wikipedia.org/w/index.php?title=Web_crawler&action=edit&section=25
132,https://en.wikipedia.org/w/index.php?title=Web_crawler&action=edit&section=13
133,https://en.wikipedia.org/wiki/Ask.com
134,https://doi.org/10.1002%2Fspe.587
135,https://en.wikipedia.org/wiki/Category:CS1_maint:_multiple_names:_authors_list
136,https://en.wikipedia.org/wiki/#cite_note-edwards2001-6
137,https://en.wikipedia.org/wiki/Category:Webarchive_template_wayback_links
138,https://en.wikipedia.org/wiki/URL_normalization
139,https://en.wikipedia.org/wiki/Special:RecentChangesLinked/Web_crawler
140,https://en.wikipedia.org/wiki/Wired_(magazine)
141,http://cis.poly.edu/tr/tr-cis-2001-03.pdf
142,https://en.wikipedia.org/wiki/PMID_(identifier)
143,https://lv.wikipedia.org/wiki/T%C4%ABmek%C4%BCa_r%C4%81pu%C4%BCprogramma
144,https://en.wikipedia.org/wiki/#Visual_vs_programmatic_crawlers
145,https://en.wikipedia.org/wiki/Repository_(version_control)
146,https://en.wikipedia.org/wiki/Focused_crawlers
147,https://doi.org/10.1007%2F978-3-642-02457-3_74
148,https://en.wikipedia.org/wiki/GNU_General_Public_License
149,https://en.wikipedia.org/wiki/Yahoo!_Search
150,https://en.wikipedia.org/wiki/#cite_note-20
151,https://web.archive.org/web/20050905013119/http://pages.stern.nyu.edu/~panos/publications/icde2005.pdf
152,https://en.wikipedia.org/wiki/Robots_exclusion_standard
153,https://en.wikipedia.org/wiki/Top-level_domain
154,https://en.wikipedia.org/wiki/Category:Articles_with_short_description
155,https://en.wikipedia.org/wiki/#cite_note-25
156,https://en.wikipedia.org/wiki/#cite_note-Norton-2007-01-25-49
157,https://web.archive.org/web/20020106130042/http://www.wolfbot.com/
158,https://www.canada.ca/en/revenue-agency/services/about-canada-revenue-agency-cra/protecting-your-privacy/privacy-impact-assessment/xenon-web-crawling-initiative-privacy-impact-assessment-summary.html
159,https://en.wikipedia.org/wiki/#cite_ref-cho2003a_32-1
160,http://chato.cl/papers/baeza05_crawling_country_better_breadth_first_web_page_ordering.pdf
161,https://en.wikipedia.org/wiki/Internet_media_type
162,https://doi.org/10.1142%2F3725
163,https://en.wikipedia.org/wiki/PowerMapper
164,https://en.wikipedia.org/wiki/Yahoo!
165,https://doi.org/10.1145%2F775152.775192
166,https://eu.wikipedia.org/wiki/Web_crawler
167,https://web.archive.org/web/20040903174942/http://archive.ncsa.uiuc.edu/SDG/IT94/Proceedings/Agents/spetka/spetka.html
168,http://informatics.indiana.edu/fil/Papers/ICML.ps
169,https://en.wikipedia.org/wiki/Web_query
170,https://en.wikipedia.org/wiki/Web_crawler
171,https://en.wikipedia.org/wiki/Internet_search
172,https://www.mediawiki.org/
173,https://en.wikipedia.org/wiki/Spider_trap
174,https://en.wikipedia.org/wiki/#cite_ref-cho2003_31-0
175,http://www.mendeley.com/download/public/1423991/3893295922/dc0f7d824fd2a8fbbc84f6fdf9e4f337d343987d/dl.pdf
176,https://en.wikipedia.org/wiki/#cite_ref-7
177,https://en.wikipedia.org/wiki/Distributed_web_crawling
178,https://doi.org/10.1145%2F857166.857170
179,https://www.wikidata.org/wiki/Special:EntityPage/Q45842
180,https://github.com/bedirhan/wivet
181,https://en.wikipedia.org/wiki/Mathematical_combination
182,https://en.wikipedia.org/wiki/#cite_ref-baeza2002_37-0
183,https://support.google.com/webmasters/bin/answer.py?hl=en&answer=174992
184,https://en.wikipedia.org/wiki/Web_pages
185,https://en.wikipedia.org/wiki/#cite_ref-15
186,https://en.wikipedia.org/wiki/#Historical_web_crawlers
187,http://informatics.indiana.edu/fil/Papers/AA98.ps
188,https://en.wikipedia.org/wiki/ISBN_(identifier)
189,http://www.scit.wlv.ac.uk/%7Ecm1993/papers/Web_Crawling_Ethics_preprint.doc
190,https://en.wikipedia.org/wiki/Apache_License
191,https://doi.org/10.1002%2F%28SICI%291099-1425%28199806%291%3A1%3C15%3A%3AAID-JOS3%3E3.0.CO%3B2-K
192,https://en.wikipedia.org/wiki/Wikipedia:Community_portal
193,https://en.wikipedia.org/wiki/Duplicate_content
194,https://en.wikipedia.org/w/index.php?title=Web_crawler&action=edit&section=20
195,https://en.wikipedia.org/wiki/Wikipedia:General_disclaimer
196,https://en.wikipedia.org/wiki/Wikipedia:Contact_us
197,https://en.wikipedia.org/wiki/Audio_search_engine
198,https://en.wikipedia.org/wiki/Z39.50
199,https://en.wikipedia.org/w/index.php?title=Web_crawler&action=edit&section=9
200,https://en.wikipedia.org/wiki/Help:Contents
201,https://en.wikipedia.org/wiki/Google.com
202,https://en.wikipedia.org/wiki/Federated_search
203,https://en.wikipedia.org/wiki/Microsoft_Word
204,https://qu.wikipedia.org/wiki/Web_aysakuq
205,https://en.wikipedia.org/wiki/#cite_ref-28
